name sigma sigma_e
PGC086285 188.4 15.2
UGC03438 102.4 26.5
UGCA127 30.4 27.5
UGC03457 191.2 8.1
UGC03448 176.9 7.9
UGC03458 226.6 43.2
IC2166 68.4 16.1
PGC019111 337.0 12.0
PGC019111 300.6 10.3
PGC019232 331.5 9.6
PGC019278 189.4 21.5
PGC085930 231.8 12.6
IC0449 240.3 8.4
NGC2274 290.3 6.9
NGC2274 284.8 6.9
NGC2273 112.5 6.6
PGC076120 285.0 18.4
PGC019750 123.3 6.8
PGC019864 269.9 6.7
UGC03596 168.7 6.2
PGC3096769 922.5 132.7
PGC076449 197.3 7.6
NGC2320 324.3 11.3
UGC03683 280.2 7.3
UGC03685 42.1 19.2
NGC2340 243.9 6.0
UGC03725 285.3 10.9
NGC2344 55.1 16.9
NGC2344 48.8 16.6
UGC03752 88.6 8.1
MRK0376 250.8 42.7
PGC020561 309.7 13.2
PGC020607 92.0 187.0
UGC03789 127.5 6.7
UGC03800 234.3 9.9
PGC020827 133.7 14.0
PGC077133 138.1 17.0
UGC03816 297.5 6.1
UGC03816 299.3 5.8
UGC03816 305.7 5.9
UGC03816 307.5 5.5
UGC03828 78.6 10.7
UGC03840 298.2 8.1
UGC03855 143.6 5.6
NGC2388 55.9 42.3
PGC021204 222.8 9.4
UGC03894 302.0 7.0
UGC03894 308.9 8.1
NGC2411 276.5 6.9
NGC2418 254.5 4.9
PGC021400 91.7 44.9
UGC03957 304.8 12.1
MRK0078 96.4 40.4
IC0472 140.8 6.4
NGC2435 192.1 8.4
UGC04051 300.5 7.3
UGC04107 64.7 22.4
UGC04145 164.6 12.9
NGC2493 225.8 8.4
NGC2488 290.1 8.6
NGC2508 310.2 29.7
NGC2508 263.7 5.9
NGC2513 297.0 6.5
UGC04203 74.5 22.3
PGC022720 418.6 17.5
NGC2522 289.1 10.8
PGC022798 198.5 8.4
PGC022906 280.5 13.4
PGC2195631 363.4 12.7
PGC2195631 318.6 16.0
IC2231 267.6 8.8
NGC2541 71.1 31.0
UGC04289 239.8 6.3
UGC04308 77.9 16.6
UGC04306 49.4 26.7
NGC2554 188.0 4.5
NGC2549 147.5 3.8
NGC2565 156.2 6.1
NGC2562 176.9 10.0
NGC2563 286.9 6.0
UGC04357 147.3 7.4
NGC2577 215.9 5.8
PGC023680 301.4 15.7
NGC2592 232.6 4.5
NGC2592 240.0 4.6
MRK1216 343.1 9.2
MRK1216 356.2 7.4
MRK1216 341.3 10.1
NGC2618 148.8 7.6
NGC2614 58.3 23.3
NGC2639 188.6 5.3
UGC04549 16.0 26.9
NGC2629 298.6 6.5
NGC2672 283.0 5.7
NGC2683 108.3 17.8
NGC2681 103.3 5.7
NGC2695 222.8 3.6
NGC2693 331.4 5.8
NGC2713 235.9 6.1
NGC2720 324.3 9.2
UGC04730 101.9 9.5
NGC2749 268.0 7.4
NGC2816 69.9 16.4
NGC2759 283.3 7.6
PGC025752 317.8 14.7
NGC2767 244.5 7.6
NGC2767 248.5 5.8
NGC2767 248.1 4.9
NGC2775 166.1 4.0
NGC2768 172.8 4.0
NGC2778 159.1 5.9
NGC2783 241.7 10.4
NGC2789 183.0 11.6
PGC026193 305.4 6.8
PGC026204 237.3 8.9
